gameId,player,positionGroupType,shirtNumber,team
27815,"{'id': '1993', 'nickname': 'Illan Meslier'}",GK,1,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '13769', 'nickname': 'Mateo Joseph'}",CF,19,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '229', 'nickname': 'Will Norris'}",GK,1,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '32979', 'nickname': 'Elias Sørensen'}",CF,18,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '13638', 'nickname': 'Wilfried Gnonto'}",LW,29,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '2022', 'nickname': 'Joe Gelhardt'}",CF,30,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '20918', 'nickname': 'Sam Silvera'}",LW,20,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '10393', 'nickname': 'Ben Stevenson'}",CM,14,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '9951', 'nickname': 'Ilia Gruev'}",CM,44,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '551', 'nickname': 'Sam Byram'}",LB,25,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '6922', 'nickname': 'Andre Dozzell'}",CM,21,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '7729', 'nickname': 'Zak Swanson'}",RB,22,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '1931', 'nickname': 'Ethan Ampadu'}",CM,4,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '317', 'nickname': 'Karl Darlow'}",GK,26,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '7432', 'nickname': 'Marlon Pack'}",CM,7,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '6928', 'nickname': 'Jordan Archer'}",GK,31,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '1998', 'nickname': 'Pascal Struijk'}",LCB,5,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '7403', 'nickname': 'Joël Piroe'}",CF,10,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '8232', 'nickname': 'Ryley Towler'}",LCB,4,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '10953', 'nickname': 'Owen Moxon'}",CM,17,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '2083', 'nickname': 'Joe Rodon'}",RCB,6,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '1067', 'nickname': 'Brenden Aaronson'}",AM,11,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '2007', 'nickname': 'Conor Shaughnessy'}",RCB,6,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '8288', 'nickname': 'Christian Saydee'}",CF,15,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '1514', 'nickname': 'Junior Firpo'}",LB,3,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '2020', 'nickname': 'Patrick Bamford'}",CF,9,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '10034', 'nickname': 'Connor Ogilvie'}",LB,3,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '326', 'nickname': 'Matt Ritchie'}",RM,30,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '137', 'nickname': 'Daniel James'}",RW,7,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '8093', 'nickname': 'Maximilian Wober'}",LCB,39,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '10306', 'nickname': 'Paddy Lane'}",RW,32,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '13081', 'nickname': 'Tom Lowery'}",CM,26,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '1929', 'nickname': 'Jayden Bogle'}",RB,2,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '7332', 'nickname': 'Joe Rothwell'}",CM,8,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '7049', 'nickname': 'Jordan Williams'}",RB,2,"{'id': '328', 'name': 'Portsmouth'}"
